"default","n_collect","credit_ratio","interest","initial_list_status","recover","coll_fee","out_prncp","total_cc","term","fees_rec","total_acc","employment","amount","monthly_payment","funded","status","v1","int_rec","reason","last_payment","pymnt_rec","quality","out_prncp_inv","violations","del","inc","prin_rec","credit_bal","ncc","req"
0,0,63.6,6.89,"b",0,0,12320.2,3225.39," 3 yrs",0,20,"4",15000,462.41,15000,"unchecked",14.21,545.59,"renovation",462.41,3225.39,"q1",12320.2,0,0,70000,2679.8,19222,8,0
0,0,62.9,7.9,"a",0,0,9947.64,13142," 3 yrs",0,15,"10+",21000,657.1,21000,"partial",11.38,2089.64,"cc",657.1,13048.13,"q1",9876.58,0,0,58000,11052.36,25173,5,0
1,0,16.4,14.3,"a",0,0,0,4682.99," 3 yrs",0,27,"8",6500,223.11,6500,"checked",19.49,1232.31,"debt",223.11,4682.99,"q3",0,1,0,50000,3450.68,2631,16,0
0,0,68.3,15.1,"a",0,0,5318.05,13017.67," 3 yrs",0,20,"7",15000,520.72,15000,"partial",26.78,3335.72,"debt",520.72,13017.67,"q3",5318.05,0,0,48000,9681.95,9630,4,0
0,0,33.8,18.2,"a",0,0,13425,0," 5 yrs",0,25,"10+",13425,342.37,13425,"checked",34.62,0,"debt",0,0,"q5",13425,1,2,32000,0,3953,11,0
1,0,90.8,14.09,"a",0,0,0,1494.7," 3 yrs",0,14,"3",8750,299.44,8750,"unchecked",15.13,489.51,"debt",299.44,1494.7,"q2",0,0,0,51000,1005.19,9630,8,2
0,0,28,11.22,"b",0,0,14647.6,502," 3 yrs",0,49,"10+",15000,492.65,15000,"checked",26.39,149.6,"renovation",511.35,502,"q2",14647.6,1,0,170000,352.4,8723,24,3
0,0,12.5,17.57,"b",0,0,0,3452.39," 3 yrs",0,4,"< 1",3000,107.82,3000,"partial",4.76,452.39,"debt",2374.19,3452.39,"q4",0,0,0,30000,3000,312,4,0
1,0,73.5,13.68,"a",0,0,0,2292.29," 3 yrs",0,20,"6",9625,327.47,9625,"unchecked",27.86,809.29,"cc",327.65,2292.29,"q3",0,0,0,28000,1483,9632,17,1
1,0,24,13.99,"b",0,0,15211.42,5090.01," 3 yrs",0,22,"9",18725,639.89,18725,"partial",15.52,1576.43,"debt",639.89,5090.01,"q3",15211.42,1,0,72000,3513.58,8651,16,2
1,0,58.8,13.67,"a",0,0,0,8324.19," 3 yrs",0,16,"< 1",18825,640.39,18825,"partial",13.24,2392.8,"cc",640.39,8324.19,"q2",0,1,0,55000,5931.39,10822,9,1
0,0,69.5,15.61,"b",0,0,16974.36,2154.44," 5 yrs",0,17,"10+",18000,434.01,18000,"partial",12.12,1128.8,"debt",434.01,2154.44,"q4",16974.36,0,0,70000,1025.64,11396,10,0
1,0,97.1,18.75,"a",703.51,7.0350999961,0,4072.82," 3 yrs",0,10,"10+",7000,255.71,7000,"checked",12.3,1457.37,"debt",305.89,4072.82,"q4",0,0,0,79000,1911.94,4369,6,1
0,0,61,17.57,"a",0,0,10695.56,775.93," 3 yrs",0,12,"3",11175,401.6,11175,"unchecked",20.81,296.49,"debt",401.6,775.93,"q4",10695.56,0,0,68000,479.44,6242,11,2
0,0,83.7,14.83,"a",0,0,0,4621.58503004," 5 yrs",0,26,"3",3250,77.03,3250,"checked",23.43,1371.59,"cc",76.81,4586.03,"q4",0,1,0,23000,3250,11303,11,2
0,0,28.2,7.69,"a",0,0,9458.31,12477.6," 3 yrs",0,45,"1",20000,623.88,20000,"unchecked",17.74,1935.91,"cc",623.88,12477.6,"q1",9458.31,0,1,185000,10541.69,50465,19,3
1,0,61.4,13.98,"a",404.07,4.02,0,6030.25," 5 yrs",0,13,"3",12250,234.91,10100,"unchecked",22.55,2409.26,"debt",234.91,5623.27,"q3",0,0,0,34000,3216.92,4050,10,0
0,0,63.7,13.67,"a",0,0,0,17881.531245," 3 yrs",0,28,"10+",15000,510.27,15000,"checked",9.78,2881.53,"debt",1148.05,17881.53,"q2",0,0,1,69000,15000,18281,12,0
0,0,41.8,7.88,"a",0,0,0,11128.42," 3 yrs",0,21,"< 1",10000,312.81,10000,"unchecked",7.18,1128.42,"other",3631.75,11128.42,"q1",0,0,0,51000,10000,8658,6,4
1,0,50.3,19.52,"a",4964.22,893.559599997,0,6800.16," 5 yrs",0,19,"10+",35000,917.97,35000,"checked",13.13,1133,"debt",917.97,6800.16,"q5",0,0,1,87000,702.94,12230,9,0
0,0,87.4,14.99,"b",0,0,29458.27,10792.96," 5 yrs",0,48,"10+",35000,832.47,35000,"partial",28.67,5251.23,"cc",832.47,10792.96,"q3",29458.27,0,0,160000,5541.73,46754,16,0
0,0,65.7,21.99,"a",0,0,0,31001.03," 5 yrs",0,42,"8",29825,823.57,29825,"checked",37.78,1176.03,"debt",30250.33,30949.06,"q5",0,0,0,65000,29825,21734,25,2
0,0,74.4,12.99,"a",0,0,8636.29,8590.78," 3 yrs",0,22,"10+",15000,505.34,15000,"partial",18.78,2227.07,"debt",505.34,8590.78,"q3",8636.29,1,3,70000,6363.71,10866,14,2
0,0,30.8,10.16,"b",0,0,0,22146.14," 3 yrs",0,35,"7",19725,637.96,19725,"checked",17.03,2421.14,"cc",2748.98,22146.14,"q2",0,0,0,125000,19725,19018,16,0
0,0,77.5,13.67,"b",0,0,21742.47,491.44," 5 yrs",0,15,"6",22000,508.15,22000,"partial",33.98,233.91,"debt",508.15,491.44,"q3",21742.47,0,0,66411,257.53,20292,10,0
1,0,80.6,18.25,"b",0,0,22456.01,3627.65," 5 yrs",0,28,"< 1",24000,612.72,24000,"partial",22.82,2083.66,"debt",612.72,3627.65,"q5",22456.01,0,0,82000,1543.99,21046,16,2
1,0,39.3,13.05,"a",660.09,6.6009,0,2480.74," 3 yrs",0,30,"2",6000,202.31,6000,"checked",17.17,532.16,"debt",202.31,2480.74,"q2",0,1,0,42000,1288.49,5700,8,0
1,0,41.3,24.5,"a",3937.61,39.3761000021,0,12652.16," 5 yrs",0,17,"7",30000,871.77,30000,"checked",21.24,5871.18,"cc",871.77,12652.16,"q6",0,0,0,111000,2843.37,15941,10,4
0,0,56.1,19.22,"a",0,0,0,22762.5904992," 5 yrs",0,28,"10+",20000,521.24,20000,"partial",18.67,2762.59,"renovation",18592.89,22762.59,"q4",0,0,0,59000,20000,33270,12,2
0,0,74,8.18,"a",0,0,7654.89,1064.42," 3 yrs",0,24,"10+",8500,267.07,8500,"unchecked",14.41,219.31,"cc",267.07,1064.42,"q2",7654.89,0,2,62042,845.11,9601,14,1
0,0,82.8,15.31,"a",0,0,0,10027.0746613," 3 yrs",0,27,"8",8000,278.54,8000,"partial",5.39,2027.07,"debt",279.19,10027.07,"q3",0,0,0,75000,8000,8032,12,2
0,0,33,13.11,"a",0,0,0,2707.24," 3 yrs",0,17,"10+",2650,89.43,2650,"unchecked",11.78,57.24,"debt",2618.35,2707.24,"q2",0,0,0,38000,2650,4191,10,0
0,0,44.8,12.69,"b",0,0,25568.01,4408.88," 5 yrs",0,32,"10+",28000,632.66,28000,"partial",22.26,1976.89,"cc",632.66,4408.88,"q3",25568.01,0,0,78000,2431.99,46977,16,0
0,0,35,10.99,"b",0,0,5858.54,189.08," 3 yrs",0,16,"NA",6000,196.41,6000,"partial",24.98,47.62,"cc",196.41,189.08,"q2",5858.54,0,0,18828,141.46,5323,9,1
1,0,78,21.99,"b",2889.47,28.8947,0,6368.75," 5 yrs",0,29,"7",21000,579.88,21000,"checked",20.84,2254.01,"debt",579.88,6368.75,"q5",0,0,0,85000,1225.27,16097,13,2
1,0,41.7,15.61,"b",0,0,0,5155.49," 5 yrs",23.33,48,"10+",19350,466.56,19350,"unchecked",22.5,2612.09,"cc",466.56,5155.49,"q4",0,0,0,69000,2520.07,16189,32,0
0,0,89.9,11.99,"a",0,0,3145.53,8634.39," 3 yrs",0,10,"9",10000,332.1,10000,"checked",29.38,1779.92,"cc",332.1,8591.22,"q2",3129.8,0,0,44000,6854.47,16450,7,0
0,0,34.1,6.03,"a",0,0,4841.02,3652.35," 3 yrs",0,24,"8",8000,243.49,8000,"unchecked",6.53,493.37,"debt",243.49,3652.35,"q1",4841.02,0,0,113000,3158.98,10108,12,0
0,0,71.9,7.89,"b",0,0,15000,0," 3 yrs",0,10,"5",15000,469.29,15000,"checked",21.26,0,"cc",0,0,"q1",15000,0,0,35000,0,12584,7,0
1,0,87.8,16.78,"a",0,0,0,3853.9," 5 yrs",0,20,"10+",12000,296.82,12000,"checked",22.61,2030.6,"debt",296.82,3853.9,"q3",0,0,0,34445,1823.3,20626,9,0
0,0,30.1,14.47,"a",0,0,1528.91,3303.11," 3 yrs",0,12,"2",4000,137.63,4000,"checked",18.5,832.02,"debt",137.63,3303.11,"q3",1528.91,0,0,25000,2471.09,3163,8,0
1,0,28.4,13.65,"b",0,0,0,6406.8," 5 yrs",0,25,"3",18500,427.12,18500,"partial",11.87,2884.56,"debt",427.12,6406.8,"q3",0,0,0,89000,3522.24,6991,13,1
0,0,34.3,13.67,"b",0,0,15637.98,538.21," 3 yrs",0,25,"3",16000,544.29,16000,"checked",23.4,176.19,"debt",550.36,538.21,"q3",15637.98,0,0,50000,362.02,15371,11,0
0,0,31.9,12.49,"b",0,0,0,22228.99," 5 yrs",0,51,"10+",22000,494.85,22000,"unchecked",27.31,228.99,"debt",22228.99,22228.99,"q2",0,0,0,114000,22000,26294,28,2
0,0,0,16.55,"a",0,0,6631.7,1949.04," 3 yrs",0,25,"NA",7875,279.01,7875,"checked",34.68,705.74,"debt",279.01,1949.04,"q4",6631.7,0,1,21900,1243.3,25,15,0
0,0,47.4,14.3,"a",0,0,3541.36,9813.68," 3 yrs",0,29,"10+",11000,377.56,11000,"checked",16.26,2355.04,"cc",377.56,9813.68,"q3",3541.36,0,0,51000,7458.64,12836,10,2
1,0,46.6,25.57,"b",0,0,0,8701.48," 3 yrs",48.07,18,"4",24000,961.49,24000,"unchecked",5.44,4250.73,"business",1971.05,8701.48,"q6",0,0,0,80000,4402.68,10670,8,2
1,0,89,17.27,"a",20.88,3.7584000005,0,16270.39," 5 yrs",0,38,"9",17200,429.97,17200,"checked",23.76,7183.97,"renovation",606,16270.39,"q4",0,0,0,55000,9065.54,18467,14,1
1,0,78.3,16.59,"b",0,0,0,3190.44," 3 yrs",0,23,"9",15000,531.74,15000,"unchecked",14.43,1175.73,"renovation",531.74,3190.44,"q4",0,0,3,155000,2014.71,3289,9,3
0,0,92.9,20.31,"a",0,0,5057.67,19068.76," 3 yrs",0,8,"2",18250,681.13,18250,"unchecked",8.52,5876.43,"other",681.13,19068.76,"q4",5057.67,0,0,1e+05,13192.33,15225,7,1
1,0,83.2,13.98,"a",0,0,0,3750.08," 3 yrs",15,6,"8",8500,290.43,8500,"unchecked",11.39,901.76,"debt",316.42,3750.08,"q3",0,0,0,35000,2833.32,3661,5,1
0,0,68.7,23.99,"a",0,0,17516.86,1493.18," 5 yrs",0,27,"9",18000,517.72,18000,"checked",26.88,1010.04,"debt",517.72,1491.11,"q6",17492.53,0,0,40000,483.14,23069,21,0
0,1,27.8,12.29,"a",0,0,21746.96,3185.53," 3 yrs",0,18,"10+",24000,800.48,24000,"unchecked",10.8,932.49,"debt",800.48,3185.53,"q3",21746.96,0,0,120000,2253.04,4038,8,1
0,0,8.5,6.92,"a",0,0,10741.41,5074.29," 3 yrs",0,31,"1",15000,462.61,15000,"checked",16.74,815.7,"debt",462.61,5074.29,"q1",10741.41,0,0,80000,4258.59,5267,17,0
0,0,47.8,6.89,"b",0,0,3285.39,870.13," 3 yrs",0,16,"8",4000,123.31,4000,"checked",3.6,155.52,"debt",123.31,870.13,"q1",3285.39,0,0,49000,714.61,6500,5,0
1,0,10.6,19.19,"a",0,0,7545.4,599.23," 3 yrs",0,34,"NA",7875,289.43,7875,"checked",27.87,269.63,"cc",318.2,599.23,"q5",7545.4,0,0,21452.16,329.6,3919,12,1
1,0,47.4,18.25,"a",9.18,0,0,5716.94," 5 yrs",0,38,"10+",28000,714.83,28000,"checked",22.58,3273.55,"debt",714.83,5716.94,"q4",0,0,0,83000,2434.21,2368,5,0
0,0,56.5,9.17,"b",0,0,2378.35,158.13," 3 yrs",0,39,"10+",2500,79.7,2500,"partial",13.97,36.48,"other",79.7,158.13,"q2",2378.35,0,0,80000,121.65,25164,14,0
1,0,19.1,13.16,"a",458.1,4.56,0,1969.98," 3 yrs",0,7,"6",11200,378.23,11200,"checked",4.25,473.97,"business",378.23,491.64,"q3",0,0,0,63800,1037.91,8897,7,3
0,0,40.1,11.44,"a",0,0,17515.43,8682.89," 3 yrs",0,65,"10+",24000,790.74,24000,"partial",33.29,2198.32,"debt",790.74,8682.89,"q2",17515.43,0,0,125000,6484.57,41287,27,2
0,0,54.5,11.99,"a",0,0,24694.27,13901.45," 3 yrs",0,67,"< 1",35000,1162.34,35000,"checked",15.14,3595.72,"cc",1162.34,13901.45,"q2",24694.27,0,1,195000,10305.73,31201,22,1
0,0,96.8,18.25,"b",0,0,14845.33,1457.11," 5 yrs",0,6,"1",15500,395.71,15500,"checked",25.01,802.44,"cc",395.71,1457.11,"q5",14845.33,0,0,31000,654.67,9490,3,0
1,0,91.6,24.89,"a",2532.11,25.3211,0,11313.65," 5 yrs",0,20,"8",20000,585.74,20000,"checked",22.44,5816.15,"debt",585.74,11299.52,"q7",0,0,0,86000,2965.39,16571,16,2
0,0,49.3,7.89,"b",0,0,4500.88,623.53," 3 yrs",0,19,"8",5000,156.43,5000,"unchecked",9.76,124.41,"debt",156.43,623.53,"q1",4500.88,0,1,82000,499.12,9561,9,0
0,0,45.4,22.2,"b",0,0,13607.84,14975.82," 5 yrs",0,15,"10+",20000,554.66,20000,"checked",13.53,8583.66,"medical",554.66,14975.82,"q5",13607.84,0,0,62511.8,6392.16,7320,6,0
0,0,57.4,15.27,"a",0,0,0,7440.47771762," 3 yrs",0,19,"2",6000,208.79,6000,"unchecked",19.36,1440.48,"debt",1611.1,7440.48,"q3",0,0,1,60000,6000,9246,10,2
1,0,17.3,8.94,"a",9.46,3.59,0,4145.63," 3 yrs",15.85099018,7,"< 1",10000,317.72,10000,"unchecked",5.6,821.27,"debt",317.72,4114.66,"q1",0,0,0,30000,3299.05,9152,6,2
0,0,64.8,16.49,"b",0,0,9456.1,3234.48," 5 yrs",0,21,"4",11000,270.38,11000,"partial",21.96,1690.58,"debt",270.38,3234.48,"q4",9456.1,0,1,30000,1543.9,7648,7,3
0,0,49,7.89,"b",0,0,14871.77,2651.85," 3 yrs",0,23,"3",17000,531.86,17000,"partial",22.06,523.62,"cc",531.86,2651.85,"q1",14871.77,0,0,42000,2128.23,16514,11,1
0,0,64.4,7.89,"b",0,0,9253.79,958.3," 3 yrs",0,14,"3",10000,312.86,10000,"partial",15.32,212.09,"debt",312.86,958.3,"q1",9253.79,0,0,46684,746.21,12309,5,1
1,0,73.3,13.53,"b",0,0,0,7985.04," 3 yrs",0,27,"2",19600,665.42,19600,"unchecked",15.81,2308.41,"cc",665.42,7985.04,"q2",0,0,1,61200,5676.63,16869,20,3
0,0,82,16.99,"a",0,0,3330.9,414.22," 3 yrs",0,18,"< 1",3600,128.34,3600,"unchecked",8.32,145.12,"other",128.34,414.22,"q4",3330.9,0,0,29000,269.1,6312,10,1
1,0,52.1,22.47,"a",0,0,0,27605.07," 5 yrs",0,43,"3",30000,836.61,30000,"checked",20.69,15209.95,"debt",836.61,27605.07,"q5",0,0,1,112000,12395.12,20335,22,1
0,0,45,14.65,"b",0,0,32631.29,3593.41," 3 yrs",0,21,"4",35000,1207.3,35000,"partial",8.74,1224.7,"debt",1207.3,3593.41,"q3",32631.29,0,0,85000,2368.71,24213,15,2
0,0,62.3,14.31,"a",0,0,3434.78,2227.47," 3 yrs",0,10,"4",5000,171.65,5000,"checked",31.1,662.25,"debt",171.65,2227.47,"q3",3434.78,7,0,10920,1565.22,5110,7,1
0,0,74.6,14.33,"b",0,0,0,8928.87," 3 yrs",0,19,"2",8000,274.71,8000,"unchecked",10.69,928.87,"cc",6181.77,8928.87,"q3",0,0,0,107103,8000,21545,8,0
0,0,39.8,14.99,"a",0,0,18476.86,23049.28," 3 yrs",0,54,"10+",35000,1213.12,35000,"partial",21.71,6526.14,"debt",1213.12,23049.28,"q3",18476.86,1,0,112509.76,16523.14,31622,19,0
0,0,34,18.25,"a",0,0,3193.6,1302.02," 3 yrs",0,13,"< 1",4000,145.12,4000,"unchecked",13.8,495.62,"other",145.12,1302.02,"q5",3193.6,0,0,36000,806.4,272,7,2
1,0,90.3,20.5,"a",874.37,8.17,0,3432.05," 5 yrs",0,32,"10+",16000,428.37,16000,"unchecked",14.11,1591.55,"cc",428.37,3426.73,"q5",0,0,1,105000,966.13,11289,9,0
1,0,56.9,14.49,"b",0,0,0,2634.6," 5 yrs",0,38,"10+",11200,263.46,11200,"partial",20.21,1280.44,"cc",263.46,2634.6,"q3",0,0,0,57000,1354.16,18819,14,4
1,0,68.6,16.99,"a",1627.03,292.8654,0,2635.57," 3 yrs",0,27,"10+",9600,342.22,9600,"checked",26.84,380.84,"other",342.22,2635.57,"q4",0,0,0,71000,627.7,5010,11,1
1,0,94.4,24.89,"a",0,0,0,33814.97," 5 yrs",0,11,"10+",35000,1025.05,35000,"partial",13.89,20295.76,"debt",1025.05,33766.72,"q7",0,0,0,89000,13519.21,18878,7,1
0,0,93.8,16.99,"b",0,0,7209.93,2493.07," 3 yrs",0,19,"10+",8800,313.71,8800,"checked",38.69,903,"debt",313.71,2493.07,"q4",7209.93,0,0,19200,1590.07,23364,8,0
0,0,68.5,9.67,"a",0,0,10104.23,24081.53," 3 yrs",0,11,"3",30000,963.38,30000,"partial",12.25,4185.76,"debt",963.38,24061.47,"q2",10095.81,0,0,104000,19895.77,28781,9,1
0,0,21.8,12.39,"a",0,0,0,16155.74," 3 yrs",0,22,"< 1",15000,501.02,15000,"unchecked",7.95,1155.74,"debt",12658.92,16155.74,"q3",0,0,0,85000,15000,8682,16,0
0,0,53.4,7.69,"a",0,0,8551.87,9082.08," 3 yrs",0,32,"5",16175,504.56,16175,"unchecked",20.97,1458.95,"debt",504.56,9025.93,"q1",8498.99,0,0,58880,7623.13,23559,25,0
1,0,39.3,15.59,"b",0,0,8946.6,2160.43," 5 yrs",0,22,"1",10000,241.01,10000,"partial",20.13,1107.03,"debt",241.01,2160.43,"q4",8946.6,0,0,54000,1053.4,3849,17,0
0,0,46.7,13.66,"a",0,0,0,4978.47," 3 yrs",0,21,"10+",4500,153.06,4500,"checked",12.87,478.47,"debt",3604.35,4978.47,"q3",0,0,1,55000,4500,9434,12,2
1,0,78.6,21,"a",1944.48,19.4447999951,0,5840.71," 5 yrs",0,19,"10+",14775,399.72,14775,"partial",27.59,2536.16,"debt",100,5840.71,"q5",0,0,0,53680,1360.07,33869,10,3
0,0,13.8,15.61,"a",0,0,5566.81,7014.68," 3 yrs",0,20,"4",10500,367.14,10500,"partial",32.4,2081.49,"debt",367.14,7014.68,"q4",5566.81,0,3,63000,4933.19,2873,11,1
0,0,40.5,15.22,"a",0,0,7716.49,9333.8," 5 yrs",15.5094980372,15,"5",13000,310.78,13000,"checked",20.81,4034.78,"cc",310.78,9333.8,"q3",7716.49,0,1,38000,5283.51,9158,11,0
0,0,23,9.99,"a",0,0,4266.72,965.14," 3 yrs",0,39,"2",5000,161.32,5000,"unchecked",31.96,231.86,"other",161.32,965.14,"q2",4266.72,0,1,70000,733.28,5831,14,0
0,0,72.4,18.84,"b",0,0,26373.83,8499.98," 5 yrs",0,11,"3",30000,775.58,30000,"checked",6.22,4873.81,"boat",775.58,8499.98,"q5",26373.83,3,0,91000,3626.17,6156,6,0
0,0,44.7,5.32,"b",0,0,6528.32,1124.92," 3 yrs",0,34,"10+",7500,225.87,7500,"partial",28.78,153.24,"debt",225.87,1124.92,"q1",6528.32,1,0,48000,971.68,7333,10,0
0,0,92.6,17.57,"a",0,0,2972,2760," 3 yrs",0,6,"10+",4800,172.5,4800,"unchecked",30.06,932,"other",172.5,2760,"q4",2972,0,0,48000,1828,23609,4,0
1,0,54.7,13.11,"a",1231.82,12.3182000031,0,5680," 3 yrs",0,38,"1",12000,404.97,12000,"unchecked",24.76,1270.17,"home",404.97,5680,"q2",0,0,0,60000,3178.01,14865,20,3
0,0,76.8,20.99,"a",0,0,19566.62,5036.74," 3 yrs",0,14,"< 1",22400,843.81,22400,"checked",24.1,2203.36,"moving",843.81,5036.74,"q5",19566.62,0,0,85000,2833.38,2535,7,1
0,0,72.1,15.61,"b",0,0,27200.63,7895.85," 3 yrs",0,32,"10+",32375,1131.99,32375,"partial",25.42,2721.48,"debt",1131.99,7895.85,"q4",27200.63,0,0,111000,5174.37,26239,10,0
0,0,59.1,8.18,"a",0,0,11194.21,4706.18," 3 yrs",0,13,"2",15000,471.3,15000,"partial",6.28,900.39,"debt",471.3,4706.18,"q2",11194.21,0,0,58000,3805.79,12947,8,0
0,0,81.4,13.33,"b",0,0,21641.5,4516.65," 5 yrs",0,26,"1",24000,550.14,24000,"checked",16.28,2158.15,"debt",550.14,4516.65,"q3",21641.5,0,0,60060,2358.5,4478,8,0
0,0,20.6,7.49,"a",0,0,5315.39,3228," 3 yrs",0,21,"NA",8000,248.82,8000,"checked",8.64,543.39,"debt",248.82,3228,"q1",5315.39,0,0,65000,2684.61,2077,7,1
0,0,90.3,18.54,"b",0,0,16629.9,5898.86," 5 yrs",0,19,"1",19200,493.22,19200,"checked",32.99,3328.76,"debt",493.22,5898.86,"q5",16629.9,0,0,70200,2570.1,17157,10,1
0,0,68.3,14.3,"a",0,0,0,4718.26895598," 3 yrs",0,26,"10+",4000,137.3,4000,"partial",26.88,718.27,"renovation",2247.31,4718.27,"q3",0,0,0,90000,4000,72600,14,1
0,0,36,23.99,"a",0,0,27110.12,750.2," 5 yrs",0,25,"10+",27350,786.65,27350,"partial",11.17,510.32,"debt",786.65,748.83,"q6",27060.56,0,1,72000,239.88,9147,6,0
0,0,82.5,15.65,"a",0,0,0,12583.58," 3 yrs",0,12,"5",10000,349.85,10000,"partial",4.91,2583.58,"debt",718.71,12583.58,"q4",0,0,1,65000,10000,11235,4,3
0,0,90.6,17.76,"a",0,0,0,23551.1619651," 3 yrs",0,13,"2",21000,756.68,21000,"checked",14.69,2551.16,"debt",17497.94,23551.16,"q4",0,0,0,98000,21000,23292,10,1
0,0,51.2,6.24,"b",0,0,8978.83,1224.7," 3 yrs",0,7,"< 1",10000,305.31,10000,"unchecked",16.85,203.53,"cc",305.31,1224.7,"q1",8978.83,0,0,30000,1021.17,6094,6,0
1,0,71.4,25.57,"a",2020.15,20.2015000017,0,6472.04," 5 yrs",0,33,"9",15000,445.3,15000,"partial",9.95,3071.01,"debt",445.3,6472.04,"q6",0,0,2,124000,1380.88,4211,9,2
0,0,66.9,8.18,"b",0,0,16210.36,2254.06," 3 yrs",0,27,"4",18000,565.56,18000,"partial",26.56,464.42,"cc",565.56,2254.06,"q2",16210.36,0,0,60000,1789.64,14849,15,0
0,0,81.4,12.29,"b",0,0,8820.52,1660.82," 3 yrs",0,33,"< 1",10000,333.53,10000,"unchecked",15.05,481.34,"cc",333.53,1660.82,"q3",8820.52,0,0,49504,1179.48,25073,20,1
1,0,43.5,19.05,"a",0,0,0,1269.1," 3 yrs",0,20,"10+",4950,181.58,4950,"checked",25.33,514.01,"other",181.58,1269.1,"q4",0,0,0,55000,755.09,2262,9,2
0,1,33.3,18.99,"a",0,0,0,8105.52," 3 yrs",0,18,"5",7200,263.89,7200,"partial",16.82,905.52,"renovation",6258.29,8105.52,"q5",0,1,0,70000,7200,3831,13,3
0,0,56.7,18.24,"b",0,0,16028.58,8678.33," 5 yrs",0,25,"3",20000,510.49,20000,"partial",23.87,4706.91,"business",510.49,8678.33,"q4",16028.58,0,0,75000,3971.42,18435,8,0
1,0,59.1,21.48,"a",0,0,11566.49,9286.84," 5 yrs",0,47,"10+",15450,422.16,15450,"checked",31.05,5403.33,"debt",422.16,9286.84,"q5",11566.49,0,0,47000,3883.51,22038,25,2
0,0,20.7,9.99,"b",0,0,4437.4,1003.73," 3 yrs",0,19,"2",5200,167.77,5200,"unchecked",13.14,241.13,"debt",167.77,1003.73,"q2",4437.4,0,0,21000,762.6,5310,12,2
0,0,1.3,12.49,"a",0,0,0,14873.76," 3 yrs",0,26,"3",13400,448.22,13400,"partial",24.83,1473.76,"debt",9943.34,14873.76,"q2",0,0,0,48200,13400,248,13,0
0,0,34.2,19.47,"b",0,0,11081.84,8646," 5 yrs",0,17,"10+",15000,393,15000,"checked",22.56,4727.84,"debt",393,8646,"q4",11081.84,0,0,45000,3918.16,7124,8,0
1,0,61.2,17.57,"a",0,0,23554.65,13586.58," 5 yrs",0,39,"8",30000,754.81,30000,"partial",25.85,7141.23,"debt",754.81,13586.58,"q4",23554.65,0,0,105000,6445.35,22809,18,0
0,0,27,17.57,"a",0,0,13800.54,2770.02," 3 yrs",0,27,"10+",15500,557.03,15500,"unchecked",11.24,1070.56,"renovation",557.03,2743.21,"q4",13666.98,0,0,55000,1699.46,5695,11,3
1,0,68,10.59,"a",0,0,0,713.46," 3 yrs",0,12,"10+",1000,32.55,1000,"unchecked",10.5,142.29,"medical",32.55,713.46,"q2",0,1,0,36000,571.17,6260,10,0
1,0,20.2,11.67,"a",1125.92,202.665600001,0,2042.44," 3 yrs",0,12,"10+",7000,231.4,7000,"partial",26.26,253.63,"other",231.4,2042.44,"q2",0,0,0,42000,662.89,4208,10,1
1,0,56,18.49,"b",17.1,3.078,0,15906.34," 3 yrs",0,26,"10+",19000,691.58,19000,"partial",18.24,4990.78,"debt",691.58,15906.34,"q4",0,0,0,60000,10898.46,16924,16,2
1,0,68.3,9.17,"a",0,0,0,4080.56," 3 yrs",0,22,"8",16000,510.07,16000,"unchecked",22.84,896.05,"cc",510.07,4080.56,"q2",0,0,0,89000,3184.51,26861,10,1
0,0,101,11.44,"a",0,0,0,7544.6," 3 yrs",0,23,"3",7000,230.64,7000,"checked",2.8,544.6,"cc",5708.38,7544.6,"q2",0,0,0,98600,7000,6465,5,0
1,0,70.6,16.2,"a",0,0,0,3932.08," 5 yrs",0,39,"10+",20125,491.55,20125,"checked",24.79,2087.94,"debt",491.55,3932.08,"q3",0,0,0,45669.42,1844.14,11923,12,2
1,0,65.3,18.25,"a",0,0,2307.92,2895.03," 3 yrs",0,39,"NA",4200,152.37,4200,"checked",14.55,1002.95,"cc",152.37,2895.03,"q4",2307.92,2,1,48000,1892.08,3788,11,1
0,0,77.4,12.29,"b",0,0,32548.36,3454.29," 3 yrs",0,31,"1",35000,1167.36,35000,"checked",16.16,1002.65,"debt",1167.36,3454.29,"q3",32548.36,0,0,225000,2451.64,27478,19,0
0,0,35,11.53,"b",0,0,6968.83,737.49," 3 yrs",0,18,"3",7500,247.43,7500,"partial",5.62,206.32,"cc",247.43,737.49,"q2",6968.83,0,0,35000,531.17,4622,13,1
0,0,2.3,10.64,"a",0,0,8000,5000," 3 yrs",0,8,"< 1",13000,423.4,13000,"partial",0.67,0,"transport",5000,5000,"q2",8000,0,0,52000,5000,625,8,0
0,0,79.2,15.61,"a",0,0,7051.28,12202.16," 3 yrs",0,22,"< 1",15850,554.2,15850,"partial",12.1,3403.44,"renovation",563.96,12202.16,"q3",7051.28,1,0,115000,8798.72,11559,13,2
1,0,60,19.52,"a",0,0,0,1645.13," 3 yrs",0,87,"< 1",15000,553.8,15000,"unchecked",37.33,700.53,"home",553.8,1645.13,"q5",0,0,0,82000,944.6,14821,19,1
1,0,67.9,13.68,"a",0,0,0,8607.37," 3 yrs",0,25,"6",11500,391.26,11500,"checked",17.49,2143.98,"cc",391.26,8607.37,"q3",0,0,1,35000,6463.39,14946,15,0
